CAS Number,SMILES
75898,OCC(F)(F)F
76051,OC(=O)C(F)(F)F
76131,FC(F)(Cl)C(F)(Cl)Cl
76142,FC(F)(Cl)C(F)(F)Cl
98088,FC(F)(F)c1ccccc1
151677,FC(F)(F)C(Cl)Br
307244,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
307357,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)[S](F)(=O)=O
307551,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
308247,FC1C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
333368,FC(F)(F)COCC(F)(F)F
335240,O[S](=O)(=O)C1(F)C(F)(F)C(F)(F)C(F)(C(F)(F)C(F)(F)F)C(F)(F)C1(F)F
335364,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F
335671,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
335706,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I
335762,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
335955,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
355022,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
355464,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
355680,FC1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F
355806,OCC(F)(F)C(F)(F)C(F)(F)C(F)F
374254,FC(F)(Br)C(F)(Cl)C=C
375019,OCC(F)(F)C(F)(F)C(F)(F)F
375224,OC(=O)C(F)(F)C(F)(F)C(F)(F)F
375508,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I
375735,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
375804,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I
375859,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
375928,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
375951,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
376067,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
381737,OC(=O)C(F)F
383631,CCOC(=O)C(F)(F)F
392563,Fc1c(F)c(F)c(F)c(F)c1F
393395,Nc1ccc(F)cc1C(F)(F)F
406860,FC(F)(F)\C=C\C#N
422640,OC(=O)C(F)(F)C(F)(F)F
423392,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I
434640,Fc1c(F)c(F)c(c(F)c1F)C(F)(F)F
434902,Fc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F
460377,FC(F)(F)CCI
647427,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
653372,Fc1c(F)c(F)c(C=O)c(F)c1F
678262,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
678397,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
725893,OC(=O)c1cc(cc(c1)C(F)(F)F)C(F)(F)F
754916,N[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
771608,FN(F)c1ccc(F)c(F)c1F
771619,Oc1c(F)c(F)c(F)c(F)c1F
771620,Fc1c(F)c(F)c(S)c(F)c1F
811972,FCC(F)(F)F
812704,OC(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
853394,Fc1c(F)c(F)c(c(F)c1F)C(=O)c2c(F)c(F)c(F)c(F)c2F
920661,OC(C(F)(F)F)C(F)(F)F
1478611,Oc1ccc(cc1)C(c2ccc(O)cc2)(C(F)(F)F)C(F)(F)F
1652637,[I-].C[N+](C)(C)CCCN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1691992,CCN(CCO)[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
1763231,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2043472,OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2058948,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2200706,Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(O)c(F)c2F
2218522,OC(=O)C(F)F
2357473,Nc1ccc(F)c(c1)C(F)(F)F
2706903,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2706914,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2795393,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
2923184,OC(=O)C(F)(F)F
3825261,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
3871996,O[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
3905962,[O-][N+](=O)c1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(c(F)c2F)[N+]([O-])=O
4151502,CCN[S](=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
10386842,Fc1c(F)c(c(F)c(F)c1Br)c2c(F)c(F)c(Br)c(F)c2F
13252136,OC(=O)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F
