SN,CAS Number,Chemical Name,Chemical Grade,Chemical Analysis,Chemical Purity,Species Scientific Name,Species Common Name,Species Group,Organism Lifestage,Organism Age,Age Units,Exposure Type,Media Type,Test Location,Number of Doses,Conc 1 Type (Standardized),Conc 1 Mean Op (Standardized),Conc 1 Mean (Standardized),Conc 1 Min Op (Standardized),Conc Min 1 (Standardized),Conc 1 Max Op (Standardized),Conc 1 Max (Standardized),Conc 1 Units (Standardized),Effect,Effect Measurement,Endpoint,Response Site,Observed Duration (Days),Observed Duration Units (Days),BCF 1 Value Op,BCF 1 Value,BCF 1 Min Op,BCF 1 Min,BCF 1 Max Op,BCF 1 Max,BCF 1 Unit,BCF 2 Value Op,BCF 2 Value,BCF 2 Min Op,BCF 2 Min,BCF 2 Max Op,BCF 2 Max,BCF 2 Unit,BCF 3 Value Op,BCF 3 Value,BCF 3 Min Op,BCF 3 Min,BCF 3 Max Op,BCF 3 Max,BCF 3 Unit,Author,Reference Number,Title,Source,Publication Year,Summary of Additional Parameters
SN0001,75898,"2,2,2-Trifluoroethanol",,Measured,>99,Pimephales promelas,Fathead Minnow,Fish,,NR,Day(s),Flow-through,Fresh water,Lab,,Active ingredient,,119,,105,,135,AI mg/L,Mortality,Mortality,LC50,,4,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Geiger,D.L., S.H. Poirier, L.T. Brooke, and D.J. Call",12858,Acute Toxicities of Organic Chemicals to Fathead Minnows (Pimephales promelas) Volume III,"Center for Lake Superior Environmental Studies, University of Wisconsin, Superior, WI:328 p.",1986,Purity:  NR - NR | Organism Age:  31 - 32 Day(s) | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0002,76051,"2,2,2-Trifluoroacetic acid",,Unmeasured,NR,Danio rerio,Zebra Danio,Fish,Embryo,NR,,Static,Fresh water,Lab,7,Formulation,,700,,460,,1000,AI mg/L,Multiple,Multiple effects reported as one result,EC50,,6,Day(s) post-fertilization,,,,,,,--,,,,,,,,,,,,,,,"Ulhaq,M., G. Carlsson, S. Orn, and L. Norrgren",165818,Comparison of Developmental Toxicity of Seven Perfluoroalkyl Acids to Zebrafish Embryos,Environ. Toxicol. Pharmacol.36:423-426,2013,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) post-fertilization | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0003,76051,"2,2,2-Trifluoroacetic acid",,Unmeasured,NR,Danio rerio,Zebra Danio,Fish,Embryo,NR,,Static,Fresh water,Lab,7,Formulation,>,3000,,,,,AI mg/L,Mortality,Mortality,LC50,,6,Day(s) post-fertilization,,,,,,,--,,,,,,,,,,,,,,,"Ulhaq,M., G. Carlsson, S. Orn, and L. Norrgren",165818,Comparison of Developmental Toxicity of Seven Perfluoroalkyl Acids to Zebrafish Embryos,Environ. Toxicol. Pharmacol.36:423-426,2013,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) post-fertilization | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0004,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,31.8,,0,,64.1,AI mg/L,Growth,Length,EC10,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0005,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,81.7,,18.7,,144.7,AI mg/L,Growth,Length,EC10,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0006,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,4460.3,,1849.8,,7070.7,AI mg/L,Biochemistry,Chlorophyll A concentration,EC10,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0007,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,>,10000,,,,,AI mg/L,Biochemistry,Carotenoid content,EC10,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0008,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,90.5,,24,,157,AI mg/L,Growth,Number of roots,EC10,Root,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0009,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,36.3,,3.5,,69.1,AI mg/L,Growth,Weight,EC10,Whole organism,14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
SN0010,76051,"2,2,2-Trifluoroacetic acid",Spectrophotometric grade,Unmeasured,>99,Myriophyllum sibiricum,Water Milfoil,"Flowers, Trees, Shrubs, Ferns",,NR,,Static,Fresh water,Lab,8,Active ingredient,,97.1,,0,,203.2,AI mg/L,Morphology,General morphological changes,EC10,"Nodule, root",14,Day(s),,,,,,,--,,,,,,,,,,,,,,,"Hanson,M.L., and K.R. Solomon",110399,Haloacetic Acids in the Aquatic Environment. Part I: Macrophyte Toxicity,Environ. Pollut.130(3): 371-383,2004,Purity:  NR - NR | Organism Age:  NR - NR NR | Duration (Days):  NR - NR Day(s) | Conc 2 (Standardized):  NR (NR - NR) NR | Conc 3 (Standardized):  NR (NR - NR) NR
